commune;pop
Cercle : Debdou;28 768
Cercle : Driouch;60 277
Cercle : El Aioun;26 820
Cercle : El Argoub;8 908
Cercle : El Borouj;96 232
Cercle : El Gara;79 534
Cercle : El Hajeb;23 355
Cercle : El Jadida;188 743
Cercle : El Kbab;75 955
Cercle : El Kelaa Des Sraghna;172 632
Cercle : El Ksiba;69 771
Cercle : El Menzel;50 319
Cercle : Errachidia;57 714
Cercle : Er-Rich;57 737
Cercle : Er-Rissani;39 880
Cercle : Essaouira;198 373
Cercle : Es-Semara;8 979
Cercle : Fahs;33 712
Cercle : FŠs Banlieue;38 059
Cercle : Fetouqka;80 580
Cercle : Figuig;32 119
Cercle : Foum Zguid;34 350
Cercle : Fqih  Ben  Salah;124 079
Cercle : Ghafsai;157 245
Cercle : Gharb-Bni Malek;67 722
Cercle : Goulmima;92 858
Cercle : Guelaia;120 145
Cercle : Guelmim;9 899
Cercle : Guercif;83 611
Cercle : Gzoula;119 507
Cercle : Haouzia;57 270
Cercle : Hrara;111 716
Cercle : Ifni;39 667
Cercle : Imilchil;34 672
Cercle : Imintanoute;63 761
Cercle : Imouzzer  Kandar;37 922
Cercle : Irherm;42 031
Cercle : Jebala;63 469
Cercle : Jebha;78 049
Cercle : Jerada Banlieue;23 837
Cercle : Jraifia;7 915
Cercle : Karia Ba  Mohamed;134 923
Cercle : Kasba Tadla;52 362
Cercle : Kceibya;67 903
Cercle : K‚nitra-Banlieue;117 375
Cercle : Ketama;97 903
Cercle : Kh‚misset;91 774
Cercle : Kh‚nifra;48 850
Cercle : Khouribga;72 628
Cercle : Laattaouia;146 903
Cercle : Laayoune;2 447
Cercle : Lakhsas;49 677
Cercle : Lalla Mimouna;93 850
Cercle : Laqsabi;9 693
Cercle : Loudaya;78 717
Cercle : Loukouss;115 794
Cercle : Louta;80 393
Cercle : Majjat;99 017
Cercle : MeknŠs Banlieue;89 463
Cercle : Midelt;55 512
Cercle : Missour;26 180
Cercle : Moqrisset;46 061
Cercle : Moulay  Yacoub;96 508
Cercle : Moulay Abdeslem-Ben M'chich;44 633
Cercle : Msied;2 290
Cercle : Mtouga;62 619
Cercle : Ouaouizeght;64 159
Cercle : Ouargha;78 040
Cercle : Ouarzazate;112 728
Cercle : Oued Amlil;90 830
Cercle : Oued El Makhazine;84 635
Cercle : Oued-Zem;65 277
Cercle : Ouezzane;138 146
Cercle : Oujda  Banlieue Nord;26 859
Cercle : Oujda  Banlieue Sud;18 634
Cercle : Oulad   Berhil;132 478
Cercle : Oulad Jemaa Lemta;72 959
Cercle : Oulad Teima;179 400
Cercle : Oulmes;61 054
Cercle : Oultana;87 952
Cercle : Outat El Haj;60 293
Cercle : Rehamna;118 259
Cercle : Rif;106 763
Cercle : Rommani;73 111
Cercle : Saada;166 422
Cercle : Sal‚  Banlieue;66 505
Cercle : Sefrou;56 859
Cercle : Settat;155 318
Cercle : Sidi Bennour;253 952
Cercle : Sidi Bou Othmane;99 011
Cercle : Sidi slimane;121 536
Cercle : Sidi Smail;174 622
Cercle : Souk Arbaa  El Gharb;77 141
Cercle : Souk Tlet  El Gharb;115 106
Cercle : Taddart;42 226
Cercle : Tafraout;16 292
Cercle : Tahannaout;137 873
Cercle : Tahla;49 730
Cercle : Tainaste;66 577
Cercle : Taliouine;110 304
Cercle : Tamallalt;65 969
Cercle : Tamanar;151 354
